Stat,Description,Class
Damage with Shapeshifting,Damage for skills that have the “Shapeshifting” tag,Druids
Damage with Werebear,Damage for skills that have the “Werebear” tag,Druids
Damage with Werewolf,Damage for skills that have the “Werewolf” tag,Druids
Maximum Spirit,The maximum amount of Spirit you can hold,Druids
Overpower Damage,Extra damage dealt with the Overpower status,Druids
Spirit Generation,Get more Spirit when obtaining it from any Spirit-restoring source,Druids
Spirit on Kill,Restore Spirit when you kill an enemy,Druids
Werebear Armor,Armor when you transform into a Werebear,Druids
Chill Application,How quickly your Chill can Freeze enemies,Sorcer
Control Impaired Duration Reduction,Reduces duration of control impairing effects (ie. Slow),Sorcer
Damage Reduction from Burning,Reduces damage from enemies with the Burning status,Sorcer
Damage Reduction from Chill,Reduces damage from enemies with the Chill status,Sorcer
Damage Reduction from Elites,"Reduces damage from Elite enemies, Champions, Bosses, or other players",Sorcer
Damage Vs Burning,Damage dealt to Burning enemies,Sorcer
Damage Vs Chill,Damage dealt to Chilled enemies,Sorcer
Damage Vs Stunned,Damage dealt to Stunned enemies,Sorcer
Damage with Cold,Damage dealt with Cold attacks,Sorcer
Damage with Conjuration,Damage for skills that have the “Conjuration” tag,Sorcer
Damage with Crackling Energy,Damage for Crackling Energy applications,Sorcer
Damage with Fire,Damage for Fire skills (including Burning Damage-Over-Time),Sorcer
Damage with Fire Over Time,Damage for Fire Damage-Over-Time skills (not direct Fire damage),Sorcer
Damage with Lightning,Damage for Lightning skills,Sorcer
Damage with Mastery,Damage for skills that have the “Mastery” tag,Sorcer
Damage with Non-Physical,Damage dealt from direct Non-Physical attacks and Damage-Over-Time,Sorcer
Lucky Hit Chance,Chance of triggering Lucky Hits when using skills,Sorcer
Mana Cost Reduction,Amount of mana taken away from mana costs,Sorcer
Mana Regeneration,Amount of mana regenerated per second,Sorcer
Maximum Mana,Total spellcasting capacity,Sorcer
Critical Strike Damage vs Crowd Controlled,Extra damage for skills against Crowd Controlled enemies,Rogues
Damage Reduction From Distant,Reduces damage from enemies outside melee range,Rogues
Damage Reduction From Slowed,Reduces damage from Slowed enemies,Rogues
Damage Reduction From Trapped,Reduces damage from enemies affected by Traps,Rogues
Damage from Dodging,Bonus damage dealt after dodging. Duration that you can deal bonus damage is also affected,Rogues
Damage vs Close,Damage dealt to enemies in melee range,Rogues
Damage vs Distant,Damage dealt to enemies who are out of melee range,Rogues
Damage vs Injured,Damage dealt to enemies below 35% life,Rogues
Damage vs Trapped,Damage dealt to enemies affected by Traps,Rogues
Damage with Cutthroat,Damage for skills that have the “Cutthroat” tag,Rogues
Damage with Imbued,Damage for skills that have the “Imbued” tag,Rogues
Damage with Marksman,Damage for skills that have the “Marksman” tag,Rogues
Damage with Trap,Damage for skills that have the “Trap” tag,Rogues
Energy Regeneration,Energy recovered per second,Rogues
Imbuement Cooldown Reduction,Cooldown reduced for Imbuements,Rogues
Trap Cooldown Reduction,Cooldown reduced for Traps,Rogues
Armor From Golem,Armor received from Golem while it is alive,Necromancers
Critical Strike Damage with Bone,Extra damage with Bone skills when they Critically Strike,Necromancers
Damage Reduction from DOT,Reduces damage from Damage-Over-Time effects,Necromancers
Damage Reduction from Shadow DOT,Reduces damage from Shadow Damage-Over-Time effects,Necromancers
Damage from Blood Orb,Damage bonus gained from picking up a Blood Orb and the duration of the bonus,Necromancers
Damage from Golem,Damage gained from Golem while it is alive,Necromancers
Damage vs Shadow DOT,Damage dealt to enemies with Shadow Damage-Over-Time effects,Necromancers
Damage with Bone,Damage for skills that have the “Bone” tag,Necromancers
Damage with Golem,Damage dealt by your Golem,Necromancers
Damage with Mages,Damage dealt by your Skeletal Mages,Necromancers
Damage with Minions,"Damage dealt by summoned minions (Golem, Skeletal Warriors, Skeletal Mages)",Necromancers
Damage with Shadow,Damage dealt by Shadow attacks (including DOT),Necromancers
Damage with Shadow DOT,Damage dealt by Shadow DOT attacks,Necromancers
Damage with Warrior,Damage dealt by your Skeletal Warriors,Necromancers
Essence Generation,Boosts Essence gained from Essence restoring sources,Necromancers
Essence on Kill,Essence gained when killing enemies,Necromancers
Golem Armor,Armor that the Golem has,Necromancers
Golem Attack Speed,How fast the Golem attacks,Necromancers
Golem Life,Maximum life of Golem,Necromancers
Golem Resist All,Resistance for non-Physical attacks against the Golem,Necromancers
Healing from Blood Orbs,Increases healing received from Blood Orbs,Necromancers
Life on Kill,Life regained per enemy kill,Necromancers
Mage Resist All,Resistance for non-Physical attacks against Skeletal Mages,Necromancers
Maximum Essence,Used to cast skills,Necromancers
Minion Armor,"Armor for all summoned minions (Golem, Skeletal Warriors, Skeletal Mages)",Necromancers
Minion Damage Reduction,Damage reduced for minions from all sources,Necromancers
Minion Life,Life for all of your minions,Necromancers
Vulnerable Damage,Damage dealt to Vulnerable enemies,Necromancers
Warrior Armor,Armor that your Skeletal Warriors have,Necromancers
